species,year,rgn_id,licenses,catch
Oio,2013,3,28,9901
Oio,2014,2,6,535
Oio,2014,3,25,5480
Oio,2014,4,5,1848
Oio,2015,1,6,124
Oio,2015,2,10,749
Oio,2015,3,25,6729
Oio,2016,1,5,90
Oio,2016,2,5,728
Oio,2016,3,16,4322
Oio,2016,4,4,434
Olililepa,2012,1,4,91
Olililepa,2012,3,9,2601
Olililepa,2013,3,13,755
Olililepa,2014,3,9,1340
Olililepa,2015,1,3,32
Olililepa,2015,3,6,594
Olililepa,2016,3,3,217
Omaka,2012,3,5,28
Omilu,2012,1,16,1268
Omilu,2012,2,36,2458
Omilu,2012,3,57,2113
Omilu,2012,4,25,2423
Omilu,2013,1,16,557
Omilu,2013,2,46,1637
Omilu,2013,3,41,1611
Omilu,2013,4,20,2546
Omilu,2014,1,19,420
Omilu,2014,2,39,1502
Omilu,2014,3,50,3573
Omilu,2014,4,26,2093
Omilu,2015,1,15,609
Omilu,2015,2,42,1885
Omilu,2015,3,44,1601
Omilu,2015,4,20,2138
Omilu,2016,1,16,490
Omilu,2016,2,45,1958
Omilu,2016,3,36,1172
Omilu,2016,4,20,2175
Onaga,2012,1,63,6799
Onaga,2012,2,135,46004
Onaga,2012,3,46,3148
Onaga,2012,4,31,4473
Onaga,2013,1,71,10435
Onaga,2013,2,130,54658
Onaga,2013,3,40,3429
Onaga,2013,4,27,4336
Onaga,2014,1,70,9860
Onaga,2014,2,118,57922
Onaga,2014,3,42,4758
Onaga,2014,4,28,6738
Onaga,2015,1,66,6748
Onaga,2015,2,89,36224
Onaga,2015,3,36,3424
Onaga,2015,4,23,3762
Onaga,2016,1,61,12121
Onaga,2016,2,97,26897
Onaga,2016,3,36,3843
Onaga,2016,4,16,3571
Ono,2012,1,569,262911
Ono,2012,2,262,60260
Ono,2012,3,344,40215
Ono,2012,4,167,72748
Ono,2013,1,573,260548
Ono,2013,2,246,51822
Ono,2013,3,313,35448
Ono,2013,4,163,65391
Ono,2014,1,583,292721
Ono,2014,2,262,69157
Ono,2014,3,325,48105
Ono,2014,4,177,74367
Ono,2015,1,537,275308
Ono,2015,2,244,56263
Ono,2015,3,303,45066
Ono,2015,4,178,58438
Ono,2016,1,456,166182
Ono,2016,2,195,42198
Ono,2016,3,238,22764
Ono,2016,4,154,39628
Oopuhue,2012,3,5,1054
Opakapaka,2012,1,123,20533
Opakapaka,2012,2,171,78897
Opakapaka,2012,3,50,5630
Opakapaka,2012,4,34,2535
Opakapaka,2012,NA,3,1694
Opakapaka,2013,1,123,26819
Opakapaka,2013,2,156,85330
Opakapaka,2013,3,50,9003
Opakapaka,2013,4,27,1729
Opakapaka,2014,1,126,32921
Opakapaka,2014,2,158,108626
Opakapaka,2014,3,47,17850
Opakapaka,2014,4,28,3756
Opakapaka,2014,NA,3,2167
Opakapaka,2015,1,115,28686
Opakapaka,2015,2,135,82110
Opakapaka,2015,3,44,11109
Opakapaka,2015,4,22,6862
Opakapaka,2016,1,113,36125
Opakapaka,2016,2,141,77774
Opakapaka,2016,3,46,9178
Opakapaka,2016,4,19,5576
Opelu,2012,1,83,153202
Opelu,2012,2,39,16140
Opelu,2012,3,82,65136
Opelu,2012,4,32,12550
Opelu,2013,1,77,131477
Opelu,2013,2,54,21701
Opelu,2013,3,84,76620
Opelu,2013,4,33,14508
Opelu,2014,1,76,152367
Opelu,2014,2,48,18891
Opelu,2014,3,73,60422
Opelu,2014,4,36,11851
Opelu,2015,1,61,156360
Opelu,2015,2,34,8450
Opelu,2015,3,50,61774
Opelu,2015,4,26,5768
Opelu,2016,1,57,103566
Opelu,2016,2,24,6865
Opelu,2016,3,29,32071
Opelu,2016,4,20,8801
Opelu kala,2012,1,26,2148
Opelu kala,2012,2,4,128
Opelu kala,2012,3,22,2974
Opelu kala,2013,1,25,2873
Opelu kala,2013,2,5,644
Opelu kala,2013,3,17,4668
Opelu kala,2014,1,22,919
Opelu kala,2014,2,4,110
Opelu kala,2014,3,16,1723
Opelu kala,2015,1,18,654
Opelu kala,2015,2,3,116
Opelu kala,2015,3,9,2676
Opelu kala,2016,1,15,341
Opelu kala,2016,2,5,373
Opelu kala,2016,3,3,2291
Opelu mama,2013,1,3,42
Opelu mama,2014,1,5,37
Pakii,2012,3,4,10
Pakii,2013,3,3,14
Pakii,2014,3,3,18
Pakuikui (tang),2012,1,7,308
Pakuikui (tang),2013,1,9,403
Pakuikui (tang),2013,3,3,21
Pakuikui (tang),2014,1,6,190
Pakuikui (tang),2015,1,3,112
Pakuikui (tang),2016,1,6,67
Palani,2012,1,20,1349
Palani,2012,2,18,4542
Palani,2012,3,46,30206
Palani,2013,1,16,1545
Palani,2013,2,11,3488
Palani,2013,3,46,28256
Palani,2014,1,13,684
Palani,2014,2,8,3634
Palani,2014,3,46,27298
Palani,2014,4,3,52
Palani,2015,1,14,650
Palani,2015,2,13,3454
Palani,2015,3,44,17107
Palani,2015,4,3,28
Palani,2016,1,11,152
Palani,2016,2,6,3336
Palani,2016,3,31,19665
Panuhunuhu,2012,1,3,12
Panuhunuhu,2012,3,10,101
Panuhunuhu,2013,1,3,11
Panuhunuhu,2013,3,14,153
Panuhunuhu,2014,1,4,69
Panuhunuhu,2014,3,12,171
Panuhunuhu,2015,3,13,146
Panuhunuhu,2016,3,4,103
Panunu,2012,3,8,302
Panunu,2013,3,10,181
Panunu,2014,3,9,460
Panunu,2015,1,4,11
Panunu,2015,3,8,494
Panunu,2016,3,6,150
Paopao ulua,2012,3,5,864
Paopao ulua,2013,3,6,941
Paopao ulua,2014,3,5,187
Paopao ulua,2016,3,4,108
Papa ulua,2012,1,8,32
Papa ulua,2012,2,39,10579
Papa ulua,2012,3,26,441
Papa ulua,2012,4,11,302
Papa ulua,2013,1,10,152
Papa ulua,2013,2,45,5537
Papa ulua,2013,3,24,452
Papa ulua,2013,4,4,207
Papa ulua,2014,1,7,137
Papa ulua,2014,2,49,6016
Papa ulua,2014,3,37,976
Papa ulua,2014,4,11,567
Papa ulua,2015,1,8,60
Papa ulua,2015,2,47,7640
Papa ulua,2015,3,26,493
Papa ulua,2015,4,7,150
Papa ulua,2016,1,8,222
Papa ulua,2016,2,44,8294
Papa ulua,2016,3,22,427
Papa ulua,2016,4,7,160
Poopaa,2012,1,12,30
Poopaa,2012,2,6,278
Poopaa,2012,3,26,430
Poopaa,2013,1,9,21
Poopaa,2013,2,3,97
Poopaa,2013,3,33,1377
Poopaa,2014,1,11,28
Poopaa,2014,2,4,86
Poopaa,2014,3,15,614
Poopaa,2015,1,6,16
Poopaa,2015,2,3,69
Poopaa,2015,3,13,68
Poopaa,2016,1,7,20
Poopaa,2016,2,3,123
Poopaa,2016,3,11,578
Poou,2012,1,3,20
Poou,2016,2,3,23
Pualu,2012,1,9,693
Pualu,2012,2,4,740
Pualu,2012,3,22,11329
Pualu,2013,1,7,563
Pualu,2013,2,6,408
Pualu,2013,3,19,6907
Pualu,2014,1,7,1573
Pualu,2014,2,5,880
Pualu,2014,3,22,4718
Pualu,2015,1,5,601
Pualu,2015,2,3,890
Pualu,2015,3,17,3787
Pualu,2016,1,3,452
Pualu,2016,2,3,680
Pualu,2016,3,11,3221
Puhi black,2012,3,7,1134
Puhi black,2013,3,4,1023
Puhi black,2014,3,3,520
Puhi black,2015,3,5,267
Puhi black,2016,3,4,434
Puhi eel-misc.,2012,3,6,160
Puhi eel-misc.,2013,1,3,338
Puhi eel-misc.,2013,3,4,291
Puhi eel-misc.,2014,3,5,565
Puhi eel-misc.,2015,3,4,235
Puhi eel-misc.,2016,3,5,166
Puhi white,2012,3,5,242
Puhi white,2013,3,3,293
Puhi white,2014,3,3,367
Puhi white,2015,3,4,155
Randall's snapper,2013,1,4,51
Randall's snapper,2015,1,3,72
Roi,2012,1,4,131
Roi,2012,2,15,1516
Roi,2012,3,24,2930
Roi,2013,2,14,979
Roi,2013,3,23,2015
Roi,2014,2,5,382
Roi,2014,3,16,782
Roi,2015,2,5,343
Roi,2015,3,20,572
Roi,2016,2,4,1380
Roi,2016,3,13,436
S.N. spearfish,2012,1,118,14151
S.N. spearfish,2012,2,32,2771
S.N. spearfish,2012,3,104,7043
S.N. spearfish,2012,4,20,1261
S.N. spearfish,2013,1,118,14093
S.N. spearfish,2013,2,29,2187
S.N. spearfish,2013,3,83,4995
S.N. spearfish,2013,4,27,3314
S.N. spearfish,2014,1,101,10562
S.N. spearfish,2014,2,26,1896
S.N. spearfish,2014,3,78,5418
S.N. spearfish,2014,4,15,636
S.N. spearfish,2015,1,102,14442
S.N. spearfish,2015,2,33,1739
S.N. spearfish,2015,3,78,7140
S.N. spearfish,2015,4,23,1540
S.N. spearfish,2016,1,126,21601
S.N. spearfish,2016,2,32,3813
S.N. spearfish,2016,3,100,7054
S.N. spearfish,2016,4,35,2210
Sailfish,2012,1,10,701
Sailfish,2012,2,3,100
Sailfish,2012,3,13,839
Sailfish,2012,4,3,197
Sailfish,2013,1,13,899
Sailfish,2013,2,4,225
Sailfish,2013,3,14,1054
Sailfish,2013,4,3,295
Sailfish,2014,1,17,1178
Sailfish,2014,3,7,398
Sailfish,2014,4,6,457
Sailfish,2015,1,24,2775
Sailfish,2015,3,16,1488
Sailfish,2015,4,6,551
Sailfish,2016,1,18,1050
Sailfish,2016,2,4,148
Sailfish,2016,3,11,2180
Sailfish,2016,4,8,726
Sasa ulua,2012,1,3,58
Sasa ulua,2012,2,3,224
Sasa ulua,2012,3,11,387
Sasa ulua,2013,1,4,158
Sasa ulua,2013,2,3,64
Sasa ulua,2013,3,8,191
Sasa ulua,2014,3,4,70
Sasa ulua,2014,4,3,89
Sasa ulua,2015,1,3,268
Sasa ulua,2015,3,6,40
Sasa ulua,2016,2,5,380
Sasa ulua,2016,3,4,34
Shark-misc.,2012,1,13,304
Shark-misc.,2012,2,11,34
Shark-misc.,2012,3,12,2552
Shark-misc.,2012,4,4,4
Shark-misc.,2013,1,12,210
Shark-misc.,2013,2,21,53
Shark-misc.,2013,3,8,1369
Shark-misc.,2014,1,6,103
Shark-misc.,2014,2,15,0
Shark-misc.,2014,3,7,1348
Shark-misc.,2014,4,4,95
Shark-misc.,2015,1,6,0
Shark-misc.,2015,2,13,300
Shark-misc.,2015,3,3,2069
Shark-misc.,2015,4,4,40
Shark-misc.,2016,1,6,249
Shark-misc.,2016,2,11,880
Shark-misc.,2016,3,6,2115
Shark-misc.,2016,4,3,5
Striped marlin,2012,1,70,7169
Striped marlin,2012,2,31,3548
Striped marlin,2012,3,70,10972
Striped marlin,2012,4,17,2771
Striped marlin,2013,1,58,6065
Striped marlin,2013,2,14,1116
Striped marlin,2013,3,55,8492
Striped marlin,2013,4,14,2118
Striped marlin,2014,1,68,7485
Striped marlin,2014,2,33,3938
Striped marlin,2014,3,85,13882
Striped marlin,2014,4,14,2531
Striped marlin,2015,1,60,8020
Striped marlin,2015,2,15,1639
Striped marlin,2015,3,72,10256
Striped marlin,2015,4,27,3454
Striped marlin,2016,1,66,7797
Striped marlin,2016,2,22,2947
Striped marlin,2016,3,68,13452
Striped marlin,2016,4,22,2361
Summer mullet,2016,3,3,477
Swordfish,2012,1,57,14196
Swordfish,2012,4,5,749
Swordfish,2013,1,44,14781
Swordfish,2014,1,62,16814
Swordfish,2014,4,7,882
Swordfish,2015,1,63,11982
Swordfish,2015,4,5,591
Swordfish,2016,1,37,8757
Taape,2012,1,99,8060
Taape,2012,2,77,10585
Taape,2012,3,85,11731
Taape,2012,4,44,2627
Taape,2013,1,96,4882
Taape,2013,2,63,8256
Taape,2013,3,75,16488
Taape,2013,4,38,3272
Taape,2014,1,80,3490
Taape,2014,2,68,6706
Taape,2014,3,90,16895
Taape,2014,4,30,3166
Taape,2015,1,73,3107
Taape,2015,2,53,1807
Taape,2015,3,77,19387
Taape,2015,4,30,1560
Taape,2016,1,68,3610
Taape,2016,2,51,1484
Taape,2016,3,65,26832
Taape,2016,4,32,2919
Thresher shark,2012,1,22,3164
Thresher shark,2013,1,12,1345
Thresher shark,2014,1,12,1916
Thresher shark,2015,1,6,1863
Thresher shark,2016,1,9,591
Tilapia,2012,3,3,1793
Toau,2012,1,49,875
Toau,2012,2,14,1844
Toau,2012,3,49,3315
Toau,2012,4,14,99
Toau,2013,1,43,414
Toau,2013,2,8,147
Toau,2013,3,67,3392
Toau,2013,4,12,122
Toau,2014,1,34,233
Toau,2014,2,10,42
Toau,2014,3,60,4588
Toau,2014,4,9,418
Toau,2015,1,35,290
Toau,2015,2,9,1125
Toau,2015,3,51,1601
Toau,2015,4,7,113
Toau,2016,1,39,376
Toau,2016,2,16,425
Toau,2016,3,44,1670
Toau,2016,4,9,126
Tombo,2012,1,250,562319
Tombo,2012,2,3,213
Tombo,2012,3,3,255
Tombo,2012,4,5,1048
Tombo,2013,1,156,104248
Tombo,2013,3,4,27
Tombo,2013,4,3,418
Tombo,2014,1,174,111298
Tombo,2014,2,3,408
Tombo,2014,3,3,587
Tombo,2014,4,11,2946
Tombo,2015,1,165,143860
Tombo,2016,1,113,52097
Tombo,2016,4,3,177
Tuna-misc.,2012,1,5,1293
Tuna-misc.,2012,2,22,577
Tuna-misc.,2012,3,11,338
Tuna-misc.,2013,1,4,168
Tuna-misc.,2013,2,20,372
Tuna-misc.,2013,3,7,98
Tuna-misc.,2014,1,6,103
Tuna-misc.,2014,2,23,538
Tuna-misc.,2014,3,14,786
Tuna-misc.,2015,1,5,253
Tuna-misc.,2015,2,12,283
Tuna-misc.,2015,3,18,625
Tuna-misc.,2016,1,3,115
Tuna-misc.,2016,2,20,527
Tuna-misc.,2016,3,13,359
Uhu parrot-misc.,2012,1,38,14003
Uhu parrot-misc.,2012,2,25,14556
Uhu parrot-misc.,2012,3,56,53864
Uhu parrot-misc.,2012,4,4,1506
Uhu parrot-misc.,2013,1,24,7611
Uhu parrot-misc.,2013,2,10,11126
Uhu parrot-misc.,2013,3,58,55115
Uhu parrot-misc.,2014,1,25,2812
Uhu parrot-misc.,2014,2,13,8341
Uhu parrot-misc.,2014,3,49,56044
Uhu parrot-misc.,2014,4,4,1820
Uhu parrot-misc.,2015,1,16,4119
Uhu parrot-misc.,2015,2,7,1762
Uhu parrot-misc.,2015,3,42,26341
Uhu parrot-misc.,2015,4,7,766
Uhu parrot-misc.,2016,1,17,3294
Uhu parrot-misc.,2016,2,10,2319
Uhu parrot-misc.,2016,3,32,17966
Uhu parrot-misc.,2016,4,4,1346
Uku,2012,1,119,9518
Uku,2012,2,163,65739
Uku,2012,3,75,7908
Uku,2012,4,68,30512
Uku,2012,NA,4,3116
Uku,2013,1,125,11998
Uku,2013,2,142,71457
Uku,2013,3,76,6848
Uku,2013,4,68,28709
Uku,2013,NA,3,1699
Uku,2014,1,115,13894
Uku,2014,2,142,45892
Uku,2014,3,88,7204
Uku,2014,4,57,28979
Uku,2014,NA,4,859
Uku,2015,1,133,16984
Uku,2015,2,147,54745
Uku,2015,3,98,8370
Uku,2015,4,57,21202
Uku,2015,NA,3,637
Uku,2016,1,137,19236
Uku,2016,2,138,74103
Uku,2016,3,59,7355
Uku,2016,4,52,16516
Uku,2016,NA,4,530
Ulua-misc.,2014,1,6,105
Ulua-misc.,2014,2,27,1229
Ulua-misc.,2014,3,24,682
Ulua-misc.,2014,4,12,348
Ulua-misc.,2015,1,9,237
Ulua-misc.,2015,2,38,1629
Ulua-misc.,2015,3,24,699
Ulua-misc.,2015,4,5,189
Ulua-misc.,2016,2,5,114
Ulua-misc.,2016,3,4,21
Umaumalei,2012,1,11,435
Umaumalei,2012,2,3,2802
Umaumalei,2012,3,18,675
Umaumalei,2013,1,6,120
Umaumalei,2013,2,3,2076
Umaumalei,2013,3,19,1968
Umaumalei,2014,2,3,1748
Umaumalei,2014,3,13,919
Umaumalei,2015,2,3,2401
Umaumalei,2015,3,6,366
Umaumalei,2016,2,3,2250
Umaumalei,2016,3,6,1098
Uouoa,2012,1,6,200
Uouoa,2013,1,6,286
Uouoa,2013,3,3,111
Uouoa,2014,1,6,487
Uouoa,2015,1,5,184
Uouoa,2015,2,3,54
Wahanui,2012,1,4,21
Wahanui,2013,1,4,18
Wahanui,2014,1,6,31
Wahanui,2014,3,4,10
Wahanui,2015,1,7,43
Wahanui,2015,4,3,56
Wahanui,2016,3,3,4
Walu,2012,1,8,268
Walu,2012,2,3,99
Walu,2013,1,9,448
Walu,2013,2,3,443
Walu,2014,1,14,344
Walu,2015,1,9,236
Walu,2015,2,4,141
Walu,2016,1,4,112
Weke,2012,3,4,662
Weke a'a,2012,1,13,157
Weke a'a,2012,2,8,1140
Weke a'a,2012,3,29,4924
Weke a'a,2013,1,8,282
Weke a'a,2013,2,7,1198
Weke a'a,2013,3,37,3337
Weke a'a,2014,1,12,91
Weke a'a,2014,2,4,366
Weke a'a,2014,3,29,3948
Weke a'a,2015,1,6,118
Weke a'a,2015,2,3,453
Weke a'a,2015,3,20,3264
Weke a'a,2016,1,7,131
Weke a'a,2016,2,4,559
Weke a'a,2016,3,20,4789
Weke nono,2012,1,28,822
Weke nono,2012,2,33,1831
Weke nono,2012,3,37,2971
Weke nono,2012,4,12,1502
Weke nono,2013,1,35,644
Weke nono,2013,2,42,1705
Weke nono,2013,3,37,2981
Weke nono,2013,4,7,1198
Weke nono,2014,1,29,1041
Weke nono,2014,2,35,715
Weke nono,2014,3,34,3546
Weke nono,2014,4,13,1477
Weke nono,2015,1,24,611
Weke nono,2015,2,34,1174
Weke nono,2015,3,36,2545
Weke nono,2015,4,10,1540
Weke nono,2016,1,35,848
Weke nono,2016,2,28,907
Weke nono,2016,3,24,1615
Weke nono,2016,4,11,2026
Weke pueo,2013,1,4,31
Weke pueo,2013,2,4,147
Weke pueo,2013,3,5,203
Weke ula,2012,1,36,439
Weke ula,2012,2,13,4314
Weke ula,2012,3,47,17576
Weke ula,2012,4,15,420
Weke ula,2013,1,28,420
Weke ula,2013,2,8,1670
Weke ula,2013,3,46,22415
Weke ula,2013,4,11,429
Weke ula,2014,1,27,784
Weke ula,2014,2,12,5315
Weke ula,2014,3,43,40946
Weke ula,2014,4,8,204
Weke ula,2015,1,21,477
Weke ula,2015,2,10,7111
Weke ula,2015,3,39,42632
Weke ula,2015,4,6,63
Weke ula,2016,1,24,1017
Weke ula,2016,2,10,3124
Weke ula,2016,3,33,29670
Weke ula,2016,4,8,1038
White ulua,2012,1,26,2138
White ulua,2012,2,53,6222
White ulua,2012,3,76,7980
White ulua,2012,4,26,4230
White ulua,2013,1,23,1130
White ulua,2013,2,60,4822
White ulua,2013,3,66,5749
White ulua,2013,4,26,2778
White ulua,2014,1,13,929
White ulua,2014,2,53,4272
White ulua,2014,3,53,3725
White ulua,2014,4,26,3053
White ulua,2015,1,22,941
White ulua,2015,2,48,2730
White ulua,2015,3,57,4304
White ulua,2015,4,18,2739
White ulua,2016,1,17,1325
White ulua,2016,2,50,3216
White ulua,2016,3,48,1918
White ulua,2016,4,16,1685
Yellowfin tuna,2012,1,572,1003857
Yellowfin tuna,2012,2,214,215215
Yellowfin tuna,2012,3,405,402342
Yellowfin tuna,2012,4,201,480378
Yellowfin tuna,2013,1,548,1178558
Yellowfin tuna,2013,2,175,112157
Yellowfin tuna,2013,3,371,275461
Yellowfin tuna,2013,4,188,408168
Yellowfin tuna,2014,1,573,1241338
Yellowfin tuna,2014,2,180,143784
Yellowfin tuna,2014,3,345,246370
Yellowfin tuna,2014,4,197,391518
Yellowfin tuna,2015,1,535,1176385
Yellowfin tuna,2015,2,147,137491
Yellowfin tuna,2015,3,329,256765
Yellowfin tuna,2015,4,185,406625
Yellowfin tuna,2016,1,467,740211
Yellowfin tuna,2016,2,135,136923
Yellowfin tuna,2016,3,289,245569
Yellowfin tuna,2016,4,171,392557
