year,rgn_id,stock_key,licenses,catch,island,mus,family,species
2012,1,Roi_CHCR,4,131,Hawaii,CHCR,Serranidae,Roi
2012,1,Sasa ulua_CHCR,3,58,Hawaii,CHCR,Carangidae,Sasa ulua
2013,1,Sasa ulua_CHCR,4,158,Hawaii,CHCR,Carangidae,Sasa ulua
2015,1,Sasa ulua_CHCR,3,268,Hawaii,CHCR,Carangidae,Sasa ulua
2012,1,Toau_CHCR,49,875,Hawaii,CHCR,Lutjanidae,Toau
2013,1,Toau_CHCR,43,414,Hawaii,CHCR,Lutjanidae,Toau
2014,1,Toau_CHCR,34,233,Hawaii,CHCR,Lutjanidae,Toau
2015,1,Toau_CHCR,35,290,Hawaii,CHCR,Lutjanidae,Toau
2016,1,Toau_CHCR,39,376,Hawaii,CHCR,Lutjanidae,Toau
2014,1,Ulua-misc._CHCR,6,105,Hawaii,CHCR,Carangidae,Ulua-misc.
2015,1,Ulua-misc._CHCR,9,237,Hawaii,CHCR,Carangidae,Ulua-misc.
2012,1,Wahanui_CHCR,4,21,Hawaii,CHCR,Lutjanidae,Wahanui
2013,1,Wahanui_CHCR,4,18,Hawaii,CHCR,Lutjanidae,Wahanui
2014,1,Wahanui_CHCR,6,31,Hawaii,CHCR,Lutjanidae,Wahanui
2015,1,Wahanui_CHCR,7,43,Hawaii,CHCR,Lutjanidae,Wahanui
2012,1,Aku_PMUS,313,88083,Hawaii,PMUS,Scombridae,Aku
2013,1,Aku_PMUS,267,71446,Hawaii,PMUS,Scombridae,Aku
2014,1,Aku_PMUS,278,61938,Hawaii,PMUS,Scombridae,Aku
2015,1,Aku_PMUS,262,42465,Hawaii,PMUS,Scombridae,Aku
2016,1,Aku_PMUS,219,47913,Hawaii,PMUS,Scombridae,Aku
2012,1,Bigeye tuna_PMUS,174,251332,Hawaii,PMUS,Scombridae,Bigeye tuna
2013,1,Bigeye tuna_PMUS,188,290378,Hawaii,PMUS,Scombridae,Bigeye tuna
2014,1,Bigeye tuna_PMUS,184,250672,Hawaii,PMUS,Scombridae,Bigeye tuna
2015,1,Bigeye tuna_PMUS,115,106997,Hawaii,PMUS,Scombridae,Bigeye tuna
2016,1,Bigeye tuna_PMUS,136,128835,Hawaii,PMUS,Scombridae,Bigeye tuna
2012,1,Black marlin_PMUS,10,2255,Hawaii,PMUS,Istiophoridae,Black marlin
2013,1,Black marlin_PMUS,12,3380,Hawaii,PMUS,Istiophoridae,Black marlin
2014,1,Black marlin_PMUS,11,2225,Hawaii,PMUS,Istiophoridae,Black marlin
2015,1,Black marlin_PMUS,16,2301,Hawaii,PMUS,Istiophoridae,Black marlin
2016,1,Black marlin_PMUS,16,2926,Hawaii,PMUS,Istiophoridae,Black marlin
2012,1,Blue marlin_PMUS,220,147167,Hawaii,PMUS,Istiophoridae,Blue marlin
2013,1,Blue marlin_PMUS,222,129479,Hawaii,PMUS,Istiophoridae,Blue marlin
2014,1,Blue marlin_PMUS,227,155614,Hawaii,PMUS,Istiophoridae,Blue marlin
2015,1,Blue marlin_PMUS,252,153758,Hawaii,PMUS,Istiophoridae,Blue marlin
2016,1,Blue marlin_PMUS,207,105665,Hawaii,PMUS,Istiophoridae,Blue marlin
2013,1,Blue shark_PMUS,3,0,Hawaii,PMUS,Carcharhinidae,Blue shark
2012,1,Kawakawa_PMUS,35,697,Hawaii,PMUS,Scombridae,Kawakawa
2013,1,Kawakawa_PMUS,29,943,Hawaii,PMUS,Scombridae,Kawakawa
2014,1,Kawakawa_PMUS,61,2433,Hawaii,PMUS,Scombridae,Kawakawa
2015,1,Kawakawa_PMUS,75,3925,Hawaii,PMUS,Scombridae,Kawakawa
2016,1,Kawakawa_PMUS,69,2885,Hawaii,PMUS,Scombridae,Kawakawa
2012,1,Keokeo_PMUS,4,84,Hawaii,PMUS,Scombridae,Keokeo
2013,1,Keokeo_PMUS,3,85,Hawaii,PMUS,Scombridae,Keokeo
2015,1,Keokeo_PMUS,4,14,Hawaii,PMUS,Scombridae,Keokeo
2012,1,Mahimahi_PMUS,533,344688,Hawaii,PMUS,Coryphaenidae,Mahimahi
2013,1,Mahimahi_PMUS,522,254074,Hawaii,PMUS,Coryphaenidae,Mahimahi
2014,1,Mahimahi_PMUS,524,349617,Hawaii,PMUS,Coryphaenidae,Mahimahi
2015,1,Mahimahi_PMUS,483,274956,Hawaii,PMUS,Coryphaenidae,Mahimahi
2016,1,Mahimahi_PMUS,384,190230,Hawaii,PMUS,Coryphaenidae,Mahimahi
2012,1,Mako_PMUS,11,1613,Hawaii,PMUS,Lamnidae,Mako
2013,1,Mako_PMUS,6,815,Hawaii,PMUS,Lamnidae,Mako
2015,1,Mako_PMUS,3,831,Hawaii,PMUS,Lamnidae,Mako
2016,1,Mako_PMUS,8,1634,Hawaii,PMUS,Lamnidae,Mako
2012,1,Monchong_PMUS,21,9295,Hawaii,PMUS,Bramidae,Monchong
2013,1,Monchong_PMUS,36,39341,Hawaii,PMUS,Bramidae,Monchong
2014,1,Monchong_PMUS,24,37469,Hawaii,PMUS,Bramidae,Monchong
2015,1,Monchong_PMUS,31,27631,Hawaii,PMUS,Bramidae,Monchong
2016,1,Monchong_PMUS,27,29422,Hawaii,PMUS,Bramidae,Monchong
2013,1,Oceanic whitetip_PMUS,6,80,Hawaii,PMUS,Carcharhinidae,Oceanic whitetip
2014,1,Oceanic whitetip_PMUS,3,0,Hawaii,PMUS,Carcharhinidae,Oceanic whitetip
2015,1,Oceanic whitetip_PMUS,6,0,Hawaii,PMUS,Carcharhinidae,Oceanic whitetip
2012,1,Ono_PMUS,569,262911,Hawaii,PMUS,Scombridae,Ono
2013,1,Ono_PMUS,573,260548,Hawaii,PMUS,Scombridae,Ono
2014,1,Ono_PMUS,583,292721,Hawaii,PMUS,Scombridae,Ono
2015,1,Ono_PMUS,537,275308,Hawaii,PMUS,Scombridae,Ono
2016,1,Ono_PMUS,456,166182,Hawaii,PMUS,Scombridae,Ono
2012,1,S.N. spearfish_PMUS,118,14151,Hawaii,PMUS,Istiophoridae,S.N. spearfish
2013,1,S.N. spearfish_PMUS,118,14093,Hawaii,PMUS,Istiophoridae,S.N. spearfish
2014,1,S.N. spearfish_PMUS,101,10562,Hawaii,PMUS,Istiophoridae,S.N. spearfish
2015,1,S.N. spearfish_PMUS,102,14442,Hawaii,PMUS,Istiophoridae,S.N. spearfish
2016,1,S.N. spearfish_PMUS,126,21601,Hawaii,PMUS,Istiophoridae,S.N. spearfish
2012,1,Sailfish_PMUS,10,701,Hawaii,PMUS,Istiophoridae,Sailfish
2013,1,Sailfish_PMUS,13,899,Hawaii,PMUS,Istiophoridae,Sailfish
2014,1,Sailfish_PMUS,17,1178,Hawaii,PMUS,Istiophoridae,Sailfish
2015,1,Sailfish_PMUS,24,2775,Hawaii,PMUS,Istiophoridae,Sailfish
2016,1,Sailfish_PMUS,18,1050,Hawaii,PMUS,Istiophoridae,Sailfish
2012,1,Striped marlin_PMUS,70,7169,Hawaii,PMUS,Istiophoridae,Striped marlin
2013,1,Striped marlin_PMUS,58,6065,Hawaii,PMUS,Istiophoridae,Striped marlin
2014,1,Striped marlin_PMUS,68,7485,Hawaii,PMUS,Istiophoridae,Striped marlin
2015,1,Striped marlin_PMUS,60,8020,Hawaii,PMUS,Istiophoridae,Striped marlin
2016,1,Striped marlin_PMUS,66,7797,Hawaii,PMUS,Istiophoridae,Striped marlin
2012,1,Swordfish_PMUS,57,14196,Hawaii,PMUS,Xiphiidae,Swordfish
2013,1,Swordfish_PMUS,44,14781,Hawaii,PMUS,Xiphiidae,Swordfish
2014,1,Swordfish_PMUS,62,16814,Hawaii,PMUS,Xiphiidae,Swordfish
2015,1,Swordfish_PMUS,63,11982,Hawaii,PMUS,Xiphiidae,Swordfish
2016,1,Swordfish_PMUS,37,8757,Hawaii,PMUS,Xiphiidae,Swordfish
2012,1,Thresher shark_PMUS,22,3164,Hawaii,PMUS,Alopiidae,Thresher shark
2013,1,Thresher shark_PMUS,12,1345,Hawaii,PMUS,Alopiidae,Thresher shark
2014,1,Thresher shark_PMUS,12,1916,Hawaii,PMUS,Alopiidae,Thresher shark
2015,1,Thresher shark_PMUS,6,1863,Hawaii,PMUS,Alopiidae,Thresher shark
2016,1,Thresher shark_PMUS,9,591,Hawaii,PMUS,Alopiidae,Thresher shark
2012,1,Tombo_PMUS,250,562319,Hawaii,PMUS,Scombridae,Tombo
2013,1,Tombo_PMUS,156,104248,Hawaii,PMUS,Scombridae,Tombo
2014,1,Tombo_PMUS,174,111298,Hawaii,PMUS,Scombridae,Tombo
2015,1,Tombo_PMUS,165,143860,Hawaii,PMUS,Scombridae,Tombo
2016,1,Tombo_PMUS,113,52097,Hawaii,PMUS,Scombridae,Tombo
2012,1,Tuna-misc._PMUS,5,1293,Hawaii,PMUS,Scombridae,Tuna-misc.
2013,1,Tuna-misc._PMUS,4,168,Hawaii,PMUS,Scombridae,Tuna-misc.
2014,1,Tuna-misc._PMUS,6,103,Hawaii,PMUS,Scombridae,Tuna-misc.
2015,1,Tuna-misc._PMUS,5,253,Hawaii,PMUS,Scombridae,Tuna-misc.
2016,1,Tuna-misc._PMUS,3,115,Hawaii,PMUS,Scombridae,Tuna-misc.
2012,1,Walu_PMUS,8,268,Hawaii,PMUS,Exocoetidae,Walu
2013,1,Walu_PMUS,9,448,Hawaii,PMUS,Exocoetidae,Walu
2014,1,Walu_PMUS,14,344,Hawaii,PMUS,Exocoetidae,Walu
2015,1,Walu_PMUS,9,236,Hawaii,PMUS,Exocoetidae,Walu
2016,1,Walu_PMUS,4,112,Hawaii,PMUS,Exocoetidae,Walu
2012,1,Yellowfin tuna_PMUS,572,1003857,Hawaii,PMUS,Scombridae,Yellowfin tuna
2013,1,Yellowfin tuna_PMUS,548,1178558,Hawaii,PMUS,Scombridae,Yellowfin tuna
2014,1,Yellowfin tuna_PMUS,573,1241338,Hawaii,PMUS,Scombridae,Yellowfin tuna
2015,1,Yellowfin tuna_PMUS,535,1176385,Hawaii,PMUS,Scombridae,Yellowfin tuna
2016,1,Yellowfin tuna_PMUS,467,740211,Hawaii,PMUS,Scombridae,Yellowfin tuna
2012,2,Butaguchi ulua_BMUS,6,80,Maui County,BMUS,Carangidae,Butaguchi ulua
2013,2,Butaguchi ulua_BMUS,4,44,Maui County,BMUS,Carangidae,Butaguchi ulua
2014,2,Butaguchi ulua_BMUS,3,62,Penguin Bank,BMUS,Carangidae,Butaguchi ulua
2016,2,Butaguchi ulua_BMUS,3,105,Maui County,BMUS,Carangidae,Butaguchi ulua
2012,2,Ehu_BMUS,83,8582,Maui County,BMUS,Lutjanidae,Ehu
2012,2,Ehu_BMUS,59,4956,Penguin Bank,BMUS,Lutjanidae,Ehu
2013,2,Ehu_BMUS,78,10180,Maui County,BMUS,Lutjanidae,Ehu
2013,2,Ehu_BMUS,56,5720,Penguin Bank,BMUS,Lutjanidae,Ehu
2014,2,Ehu_BMUS,78,11005,Maui County,BMUS,Lutjanidae,Ehu
2014,2,Ehu_BMUS,48,4503,Penguin Bank,BMUS,Lutjanidae,Ehu
2015,2,Ehu_BMUS,66,11156,Maui County,BMUS,Lutjanidae,Ehu
2015,2,Ehu_BMUS,45,3435,Penguin Bank,BMUS,Lutjanidae,Ehu
2016,2,Ehu_BMUS,67,14205,Maui County,BMUS,Lutjanidae,Ehu
2016,2,Ehu_BMUS,40,4176,Penguin Bank,BMUS,Lutjanidae,Ehu
2012,2,Gindai_BMUS,29,218,Maui County,BMUS,Lutjanidae,Gindai
2012,2,Gindai_BMUS,32,423,Penguin Bank,BMUS,Lutjanidae,Gindai
2013,2,Gindai_BMUS,23,212,Maui County,BMUS,Lutjanidae,Gindai
2013,2,Gindai_BMUS,25,416,Penguin Bank,BMUS,Lutjanidae,Gindai
2014,2,Gindai_BMUS,21,224,Maui County,BMUS,Lutjanidae,Gindai
2014,2,Gindai_BMUS,23,324,Penguin Bank,BMUS,Lutjanidae,Gindai
2015,2,Gindai_BMUS,27,214,Maui County,BMUS,Lutjanidae,Gindai
2015,2,Gindai_BMUS,26,213,Penguin Bank,BMUS,Lutjanidae,Gindai
2016,2,Gindai_BMUS,15,119,Maui County,BMUS,Lutjanidae,Gindai
2016,2,Gindai_BMUS,22,295,Penguin Bank,BMUS,Lutjanidae,Gindai
2012,2,Gunkan ulua_BMUS,3,88,Maui County,BMUS,Carangidae,Gunkan ulua
2014,2,Gunkan ulua_BMUS,3,100,Maui County,BMUS,Carangidae,Gunkan ulua
2012,2,Hapuupuu_BMUS,42,1759,Maui County,BMUS,Serranidae,Hapuupuu
2012,2,Hapuupuu_BMUS,29,735,Penguin Bank,BMUS,Serranidae,Hapuupuu
2013,2,Hapuupuu_BMUS,42,2542,Maui County,BMUS,Serranidae,Hapuupuu
2013,2,Hapuupuu_BMUS,15,551,Penguin Bank,BMUS,Serranidae,Hapuupuu
2014,2,Hapuupuu_BMUS,45,1988,Maui County,BMUS,Serranidae,Hapuupuu
2014,2,Hapuupuu_BMUS,14,419,Penguin Bank,BMUS,Serranidae,Hapuupuu
2015,2,Hapuupuu_BMUS,38,2720,Maui County,BMUS,Serranidae,Hapuupuu
2015,2,Hapuupuu_BMUS,12,229,Penguin Bank,BMUS,Serranidae,Hapuupuu
2016,2,Hapuupuu_BMUS,34,1904,Maui County,BMUS,Serranidae,Hapuupuu
2016,2,Hapuupuu_BMUS,19,546,Penguin Bank,BMUS,Serranidae,Hapuupuu
2012,2,Kahala_BMUS,25,1955,Maui County,BMUS,Carangidae,Kahala
2012,2,Kahala_BMUS,24,1729,Penguin Bank,BMUS,Carangidae,Kahala
2013,2,Kahala_BMUS,27,1229,Maui County,BMUS,Carangidae,Kahala
2013,2,Kahala_BMUS,24,1071,Penguin Bank,BMUS,Carangidae,Kahala
2014,2,Kahala_BMUS,17,823,Maui County,BMUS,Carangidae,Kahala
2014,2,Kahala_BMUS,21,1297,Penguin Bank,BMUS,Carangidae,Kahala
2015,2,Kahala_BMUS,24,893,Maui County,BMUS,Carangidae,Kahala
2015,2,Kahala_BMUS,18,1804,Penguin Bank,BMUS,Carangidae,Kahala
2016,2,Kahala_BMUS,17,904,Maui County,BMUS,Carangidae,Kahala
2016,2,Kahala_BMUS,21,2559,Penguin Bank,BMUS,Carangidae,Kahala
2012,2,Kalekale_BMUS,51,4279,Maui County,BMUS,Lutjanidae,Kalekale
2012,2,Kalekale_BMUS,48,2683,Penguin Bank,BMUS,Lutjanidae,Kalekale
2013,2,Kalekale_BMUS,58,3846,Maui County,BMUS,Lutjanidae,Kalekale
2013,2,Kalekale_BMUS,47,2398,Penguin Bank,BMUS,Lutjanidae,Kalekale
2014,2,Kalekale_BMUS,56,5382,Maui County,BMUS,Lutjanidae,Kalekale
2014,2,Kalekale_BMUS,37,3134,Penguin Bank,BMUS,Lutjanidae,Kalekale
2015,2,Kalekale_BMUS,49,3243,Maui County,BMUS,Lutjanidae,Kalekale
2015,2,Kalekale_BMUS,30,2496,Penguin Bank,BMUS,Lutjanidae,Kalekale
2016,2,Kalekale_BMUS,36,2227,Maui County,BMUS,Lutjanidae,Kalekale
2016,2,Kalekale_BMUS,32,2097,Penguin Bank,BMUS,Lutjanidae,Kalekale
2012,2,Lehi_BMUS,24,3760,Maui County,BMUS,Lutjanidae,Lehi
2012,2,Lehi_BMUS,9,200,Penguin Bank,BMUS,Lutjanidae,Lehi
2013,2,Lehi_BMUS,26,2962,Maui County,BMUS,Lutjanidae,Lehi
2013,2,Lehi_BMUS,11,220,Penguin Bank,BMUS,Lutjanidae,Lehi
2014,2,Lehi_BMUS,38,3067,Maui County,BMUS,Lutjanidae,Lehi
2014,2,Lehi_BMUS,12,295,Penguin Bank,BMUS,Lutjanidae,Lehi
2015,2,Lehi_BMUS,30,5157,Maui County,BMUS,Lutjanidae,Lehi
2015,2,Lehi_BMUS,8,129,Penguin Bank,BMUS,Lutjanidae,Lehi
2016,2,Lehi_BMUS,22,1861,Maui County,BMUS,Lutjanidae,Lehi
2016,2,Lehi_BMUS,12,429,Penguin Bank,BMUS,Lutjanidae,Lehi
2012,2,Onaga_BMUS,83,31209,Maui County,BMUS,Lutjanidae,Onaga
2012,2,Onaga_BMUS,52,14795,Penguin Bank,BMUS,Lutjanidae,Onaga
2013,2,Onaga_BMUS,76,38339,Maui County,BMUS,Lutjanidae,Onaga
2013,2,Onaga_BMUS,54,16319,Penguin Bank,BMUS,Lutjanidae,Onaga
2014,2,Onaga_BMUS,79,42864,Maui County,BMUS,Lutjanidae,Onaga
2014,2,Onaga_BMUS,39,15058,Penguin Bank,BMUS,Lutjanidae,Onaga
2015,2,Onaga_BMUS,57,25363,Maui County,BMUS,Lutjanidae,Onaga
2015,2,Onaga_BMUS,32,10861,Penguin Bank,BMUS,Lutjanidae,Onaga
2016,2,Onaga_BMUS,61,18043,Maui County,BMUS,Lutjanidae,Onaga
2016,2,Onaga_BMUS,36,8854,Penguin Bank,BMUS,Lutjanidae,Onaga
2012,2,Opakapaka_BMUS,106,62535,Maui County,BMUS,Lutjanidae,Opakapaka
2012,2,Opakapaka_BMUS,65,16362,Penguin Bank,BMUS,Lutjanidae,Opakapaka
2013,2,Opakapaka_BMUS,100,71081,Maui County,BMUS,Lutjanidae,Opakapaka
2013,2,Opakapaka_BMUS,56,14249,Penguin Bank,BMUS,Lutjanidae,Opakapaka
2014,2,Opakapaka_BMUS,103,86585,Maui County,BMUS,Lutjanidae,Opakapaka
2014,2,Opakapaka_BMUS,55,22041,Penguin Bank,BMUS,Lutjanidae,Opakapaka
2015,2,Opakapaka_BMUS,92,69638,Maui County,BMUS,Lutjanidae,Opakapaka
2015,2,Opakapaka_BMUS,43,12472,Penguin Bank,BMUS,Lutjanidae,Opakapaka
2016,2,Opakapaka_BMUS,83,61500,Maui County,BMUS,Lutjanidae,Opakapaka
2016,2,Opakapaka_BMUS,58,16274,Penguin Bank,BMUS,Lutjanidae,Opakapaka
2012,2,Taape_BMUS,62,10386,Maui County,BMUS,Lutjanidae,Taape
2012,2,Taape_BMUS,15,199,Penguin Bank,BMUS,Lutjanidae,Taape
2013,2,Taape_BMUS,46,8063,Maui County,BMUS,Lutjanidae,Taape
2013,2,Taape_BMUS,17,193,Penguin Bank,BMUS,Lutjanidae,Taape
2014,2,Taape_BMUS,51,6534,Maui County,BMUS,Lutjanidae,Taape
2014,2,Taape_BMUS,17,172,Penguin Bank,BMUS,Lutjanidae,Taape
2015,2,Taape_BMUS,42,1608,Maui County,BMUS,Lutjanidae,Taape
2015,2,Taape_BMUS,11,199,Penguin Bank,BMUS,Lutjanidae,Taape
2016,2,Taape_BMUS,40,1188,Maui County,BMUS,Lutjanidae,Taape
2016,2,Taape_BMUS,11,296,Penguin Bank,BMUS,Lutjanidae,Taape
2012,2,Uku_BMUS,107,17523,Maui County,BMUS,Lutjanidae,Uku
2012,2,Uku_BMUS,56,48216,Penguin Bank,BMUS,Lutjanidae,Uku
2013,2,Uku_BMUS,92,19904,Maui County,BMUS,Lutjanidae,Uku
2013,2,Uku_BMUS,50,51553,Penguin Bank,BMUS,Lutjanidae,Uku
2014,2,Uku_BMUS,90,18340,Maui County,BMUS,Lutjanidae,Uku
2014,2,Uku_BMUS,52,27552,Penguin Bank,BMUS,Lutjanidae,Uku
2015,2,Uku_BMUS,95,20737,Maui County,BMUS,Lutjanidae,Uku
2015,2,Uku_BMUS,52,34008,Penguin Bank,BMUS,Lutjanidae,Uku
2016,2,Uku_BMUS,91,31351,Maui County,BMUS,Lutjanidae,Uku
2016,2,Uku_BMUS,47,42752,Penguin Bank,BMUS,Lutjanidae,Uku
2012,2,White ulua_BMUS,40,4603,Maui County,BMUS,Carangidae,White ulua
2012,2,White ulua_BMUS,13,1619,Penguin Bank,BMUS,Carangidae,White ulua
2013,2,White ulua_BMUS,46,3475,Maui County,BMUS,Carangidae,White ulua
2013,2,White ulua_BMUS,14,1347,Penguin Bank,BMUS,Carangidae,White ulua
2014,2,White ulua_BMUS,39,3341,Maui County,BMUS,Carangidae,White ulua
2014,2,White ulua_BMUS,14,931,Penguin Bank,BMUS,Carangidae,White ulua
2015,2,White ulua_BMUS,37,2315,Maui County,BMUS,Carangidae,White ulua
2015,2,White ulua_BMUS,11,415,Penguin Bank,BMUS,Carangidae,White ulua
2016,2,White ulua_BMUS,40,2764,Maui County,BMUS,Carangidae,White ulua
2016,2,White ulua_BMUS,10,452,Penguin Bank,BMUS,Carangidae,White ulua
2012,2,Aawa_CHCR,23,141,Maui County,CHCR,Labridae,Aawa
2012,2,Aawa_CHCR,6,40,Penguin Bank,CHCR,Labridae,Aawa
2013,2,Aawa_CHCR,12,94,Maui County,CHCR,Labridae,Aawa
2013,2,Aawa_CHCR,3,15,Penguin Bank,CHCR,Labridae,Aawa
2014,2,Aawa_CHCR,10,172,Maui County,CHCR,Labridae,Aawa
2014,2,Aawa_CHCR,4,11,Penguin Bank,CHCR,Labridae,Aawa
2015,2,Aawa_CHCR,10,99,Maui County,CHCR,Labridae,Aawa
2015,2,Aawa_CHCR,4,24,Penguin Bank,CHCR,Labridae,Aawa
2016,2,Aawa_CHCR,10,98,Maui County,CHCR,Labridae,Aawa
2016,2,Aawa_CHCR,5,47,Penguin Bank,CHCR,Labridae,Aawa
2012,2,Aholehole_CHCR,7,287,Maui County,CHCR,Kuhliidae,Aholehole
2013,2,Aholehole_CHCR,6,47,Maui County,CHCR,Kuhliidae,Aholehole
2014,2,Aholehole_CHCR,5,105,Maui County,CHCR,Kuhliidae,Aholehole
2015,2,Aholehole_CHCR,4,55,Maui County,CHCR,Kuhliidae,Aholehole
2016,2,Aholehole_CHCR,6,220,Maui County,CHCR,Kuhliidae,Aholehole
2012,2,Akule_CHCR,29,30101,Maui County,CHCR,Carangidae,Akule
2013,2,Akule_CHCR,27,38329,Maui County,CHCR,Carangidae,Akule
2013,2,Akule_CHCR,4,281,Penguin Bank,CHCR,Carangidae,Akule
2014,2,Akule_CHCR,36,31804,Maui County,CHCR,Carangidae,Akule
2014,2,Akule_CHCR,3,209,Penguin Bank,CHCR,Carangidae,Akule
2015,2,Akule_CHCR,30,30937,Maui County,CHCR,Carangidae,Akule
2016,2,Akule_CHCR,26,142269,Maui County,CHCR,Carangidae,Akule
2012,2,Alaihe_CHCR,6,43,Maui County,CHCR,Holocentridae,Alaihe
2015,2,Alaihe_CHCR,4,10,Maui County,CHCR,Holocentridae,Alaihe
2012,2,Alaihe mama_CHCR,3,10,Maui County,CHCR,Holocentridae,Alaihe mama
2012,2,Aweoweo_CHCR,14,168,Maui County,CHCR,Priacanthidae,Aweoweo
2012,2,Aweoweo_CHCR,5,106,Penguin Bank,CHCR,Priacanthidae,Aweoweo
2013,2,Aweoweo_CHCR,14,248,Maui County,CHCR,Priacanthidae,Aweoweo
2013,2,Aweoweo_CHCR,12,83,Penguin Bank,CHCR,Priacanthidae,Aweoweo
2014,2,Aweoweo_CHCR,15,201,Maui County,CHCR,Priacanthidae,Aweoweo
2014,2,Aweoweo_CHCR,9,79,Penguin Bank,CHCR,Priacanthidae,Aweoweo
2015,2,Aweoweo_CHCR,16,493,Maui County,CHCR,Priacanthidae,Aweoweo
2015,2,Aweoweo_CHCR,6,56,Penguin Bank,CHCR,Priacanthidae,Aweoweo
2016,2,Aweoweo_CHCR,12,447,Maui County,CHCR,Priacanthidae,Aweoweo
2016,2,Aweoweo_CHCR,6,103,Penguin Bank,CHCR,Priacanthidae,Aweoweo
2012,2,Humuhumu_CHCR,8,79,Maui County,CHCR,Balistidae,Humuhumu
2013,2,Humuhumu_CHCR,5,84,Maui County,CHCR,Balistidae,Humuhumu
2014,2,Humuhumu_CHCR,5,31,Maui County,CHCR,Balistidae,Humuhumu
2015,2,Humuhumu_CHCR,3,49,Maui County,CHCR,Balistidae,Humuhumu
2016,2,Humuhumu_CHCR,6,62,Maui County,CHCR,Balistidae,Humuhumu
2012,2,Kagami ulua_CHCR,7,252,Maui County,CHCR,Carangidae,Kagami ulua
2013,2,Kagami ulua_CHCR,5,57,Maui County,CHCR,Carangidae,Kagami ulua
2014,2,Kagami ulua_CHCR,5,61,Maui County,CHCR,Carangidae,Kagami ulua
2015,2,Kagami ulua_CHCR,3,41,Maui County,CHCR,Carangidae,Kagami ulua
2012,2,Kaku_CHCR,3,272,Cross Seamount,CHCR,Sphyraenidae,Kaku
2012,2,Kaku_CHCR,16,223,Maui County,CHCR,Sphyraenidae,Kaku
2012,2,Kaku_CHCR,13,156,Penguin Bank,CHCR,Sphyraenidae,Kaku
2013,2,Kaku_CHCR,5,737,Cross Seamount,CHCR,Sphyraenidae,Kaku
2013,2,Kaku_CHCR,14,262,Maui County,CHCR,Sphyraenidae,Kaku
2013,2,Kaku_CHCR,7,72,Penguin Bank,CHCR,Sphyraenidae,Kaku
2014,2,Kaku_CHCR,14,248,Maui County,CHCR,Sphyraenidae,Kaku
2014,2,Kaku_CHCR,6,103,Penguin Bank,CHCR,Sphyraenidae,Kaku
2015,2,Kaku_CHCR,4,465,Cross Seamount,CHCR,Sphyraenidae,Kaku
2015,2,Kaku_CHCR,25,262,Maui County,CHCR,Sphyraenidae,Kaku
2015,2,Kaku_CHCR,10,157,Penguin Bank,CHCR,Sphyraenidae,Kaku
2016,2,Kaku_CHCR,17,196,Maui County,CHCR,Sphyraenidae,Kaku
2016,2,Kaku_CHCR,15,148,Penguin Bank,CHCR,Sphyraenidae,Kaku
2012,2,Kala_CHCR,11,6601,Maui County,CHCR,Acanthuridae,Kala
2013,2,Kala_CHCR,12,6595,Maui County,CHCR,Acanthuridae,Kala
2014,2,Kala_CHCR,13,5284,Maui County,CHCR,Acanthuridae,Kala
2015,2,Kala_CHCR,11,4878,Maui County,CHCR,Acanthuridae,Kala
2016,2,Kala_CHCR,9,4279,Maui County,CHCR,Acanthuridae,Kala
2012,2,Kawelea_CHCR,18,722,Maui County,CHCR,Sphyraenidae,Kawelea
2012,2,Kawelea_CHCR,4,61,Penguin Bank,CHCR,Sphyraenidae,Kawelea
2013,2,Kawelea_CHCR,11,344,Maui County,CHCR,Sphyraenidae,Kawelea
2013,2,Kawelea_CHCR,7,227,Penguin Bank,CHCR,Sphyraenidae,Kawelea
2014,2,Kawelea_CHCR,18,199,Maui County,CHCR,Sphyraenidae,Kawelea
2014,2,Kawelea_CHCR,5,44,Penguin Bank,CHCR,Sphyraenidae,Kawelea
2015,2,Kawelea_CHCR,16,356,Maui County,CHCR,Sphyraenidae,Kawelea
2015,2,Kawelea_CHCR,5,168,Penguin Bank,CHCR,Sphyraenidae,Kawelea
2016,2,Kawelea_CHCR,12,174,Maui County,CHCR,Sphyraenidae,Kawelea
2016,2,Kawelea_CHCR,7,109,Penguin Bank,CHCR,Sphyraenidae,Kawelea
2012,2,Kole_CHCR,12,2485,Maui County,CHCR,Acanthuridae,Kole
2013,2,Kole_CHCR,9,993,Maui County,CHCR,Acanthuridae,Kole
2014,2,Kole_CHCR,12,590,Maui County,CHCR,Acanthuridae,Kole
2015,2,Kole_CHCR,6,776,Maui County,CHCR,Acanthuridae,Kole
2016,2,Kole_CHCR,3,407,Maui County,CHCR,Acanthuridae,Kole
2012,2,Kumu_CHCR,17,450,Maui County,CHCR,Mullidae,Kumu
2013,2,Kumu_CHCR,10,153,Maui County,CHCR,Mullidae,Kumu
2014,2,Kumu_CHCR,12,240,Maui County,CHCR,Mullidae,Kumu
2015,2,Kumu_CHCR,7,121,Maui County,CHCR,Mullidae,Kumu
2016,2,Kumu_CHCR,11,191,Maui County,CHCR,Mullidae,Kumu
2012,2,Laenihi_CHCR,29,1197,Maui County,CHCR,Labridae,Laenihi
2013,2,Laenihi_CHCR,30,1616,Maui County,CHCR,Labridae,Laenihi
2014,2,Laenihi_CHCR,23,1794,Maui County,CHCR,Labridae,Laenihi
