year,rgn_id,island,code,mus,family,species,licenses,catch
2015,3,Oahu,C,PHCRT,Carangidae,Ulua-misc.,24,699
2016,3,Oahu,C,PHCRT,Carangidae,Ulua-misc.,4,21
2014,4,Kauai County,C,PHCRT,Carangidae,Ulua-misc.,12,348
2015,4,Kauai County,C,PHCRT,Carangidae,Ulua-misc.,5,189
2012,1,Hawaii,C,CHCRT,Carcharhinidae,Shark-misc.,13,304
2013,1,Hawaii,C,CHCRT,Carcharhinidae,Shark-misc.,12,210
2014,1,Hawaii,C,CHCRT,Carcharhinidae,Shark-misc.,6,103
2015,1,Hawaii,C,CHCRT,Carcharhinidae,Shark-misc.,6,0
2016,1,Hawaii,C,CHCRT,Carcharhinidae,Shark-misc.,6,249
2012,2,Maui County,C,CHCRT,Carcharhinidae,Shark-misc.,7,10
2013,2,Maui County,C,CHCRT,Carcharhinidae,Shark-misc.,10,0
2014,2,Maui County,C,CHCRT,Carcharhinidae,Shark-misc.,9,0
2015,2,Maui County,C,CHCRT,Carcharhinidae,Shark-misc.,10,300
2016,2,Maui County,C,CHCRT,Carcharhinidae,Shark-misc.,6,580
2012,3,Oahu,C,CHCRT,Carcharhinidae,Shark-misc.,12,2552
2013,3,Oahu,C,CHCRT,Carcharhinidae,Shark-misc.,8,1369
2014,3,Oahu,C,CHCRT,Carcharhinidae,Shark-misc.,7,1348
2015,3,Oahu,C,CHCRT,Carcharhinidae,Shark-misc.,3,2069
2016,3,Oahu,C,CHCRT,Carcharhinidae,Shark-misc.,6,2115
2012,4,Kauai County,C,CHCRT,Carcharhinidae,Shark-misc.,4,4
2014,4,Kauai County,C,CHCRT,Carcharhinidae,Shark-misc.,4,95
2015,4,Kauai County,C,CHCRT,Carcharhinidae,Shark-misc.,4,40
2016,4,Kauai County,C,CHCRT,Carcharhinidae,Shark-misc.,3,5
2012,2,Penguin Bank,C,CHCRT,Carcharhinidae,Shark-misc.,4,24
2013,2,Penguin Bank,C,CHCRT,Carcharhinidae,Shark-misc.,11,53
2014,2,Penguin Bank,C,CHCRT,Carcharhinidae,Shark-misc.,6,0
2015,2,Penguin Bank,C,CHCRT,Carcharhinidae,Shark-misc.,3,0
2016,2,Penguin Bank,C,CHCRT,Carcharhinidae,Shark-misc.,5,300
2012,2,Maui County,R,PHCRT,Chanidae,Awa,4,62
2012,3,Oahu,R,PHCRT,Chanidae,Awa,8,2165
2013,3,Oahu,R,PHCRT,Chanidae,Awa,9,667
2014,3,Oahu,R,PHCRT,Chanidae,Awa,12,1518
2015,3,Oahu,R,PHCRT,Chanidae,Awa,10,2068
2016,3,Oahu,R,PHCRT,Chanidae,Awa,6,397
2012,3,Oahu,R,PHCRT,Cichlidae,Tilapia,3,1793
2012,1,Hawaii,R,PHCRT,Cirrhitidae,Poopaa,12,30
2013,1,Hawaii,R,PHCRT,Cirrhitidae,Poopaa,9,21
2014,1,Hawaii,R,PHCRT,Cirrhitidae,Poopaa,11,28
2015,1,Hawaii,R,PHCRT,Cirrhitidae,Poopaa,6,16
2016,1,Hawaii,R,PHCRT,Cirrhitidae,Poopaa,7,20
2012,2,Maui County,R,PHCRT,Cirrhitidae,Poopaa,6,278
2013,2,Maui County,R,PHCRT,Cirrhitidae,Poopaa,3,97
2014,2,Maui County,R,PHCRT,Cirrhitidae,Poopaa,4,86
2015,2,Maui County,R,PHCRT,Cirrhitidae,Poopaa,3,69
2016,2,Maui County,R,PHCRT,Cirrhitidae,Poopaa,3,123
2012,3,Oahu,R,PHCRT,Cirrhitidae,Poopaa,26,430
2013,3,Oahu,R,PHCRT,Cirrhitidae,Poopaa,33,1377
2014,3,Oahu,R,PHCRT,Cirrhitidae,Poopaa,15,614
2015,3,Oahu,R,PHCRT,Cirrhitidae,Poopaa,13,68
2016,3,Oahu,R,PHCRT,Cirrhitidae,Poopaa,11,578
2012,3,Oahu,R,PHCRT,Congridae,Puhi white,5,242
2013,3,Oahu,R,PHCRT,Congridae,Puhi white,3,293
2014,3,Oahu,R,PHCRT,Congridae,Puhi white,3,367
2015,3,Oahu,R,PHCRT,Congridae,Puhi white,4,155
2012,3,Oahu,R,PHCRT,Diodontidae,Oopuhue,5,1054
2012,3,Oahu,R,PHCRT,Elopidae,Awaawa,18,1509
2013,3,Oahu,R,PHCRT,Elopidae,Awaawa,16,1231
2014,3,Oahu,R,PHCRT,Elopidae,Awaawa,15,689
2015,3,Oahu,R,PHCRT,Elopidae,Awaawa,10,374
2016,3,Oahu,R,PHCRT,Elopidae,Awaawa,5,336
2012,1,Hawaii,R,PHCRT,Emmelichthyidae,Golden kali,13,92
2013,1,Hawaii,R,PHCRT,Emmelichthyidae,Golden kali,19,159
2014,1,Hawaii,R,PHCRT,Emmelichthyidae,Golden kali,10,101
2015,1,Hawaii,R,PHCRT,Emmelichthyidae,Golden kali,8,40
2016,1,Hawaii,R,PHCRT,Emmelichthyidae,Golden kali,7,23
2012,2,Maui County,R,PHCRT,Emmelichthyidae,Golden kali,10,53
2013,2,Maui County,R,PHCRT,Emmelichthyidae,Golden kali,5,66
2014,2,Maui County,R,PHCRT,Emmelichthyidae,Golden kali,4,29
2015,2,Maui County,R,PHCRT,Emmelichthyidae,Golden kali,4,27
2016,2,Maui County,R,PHCRT,Emmelichthyidae,Golden kali,5,24
2012,2,Penguin Bank,R,PHCRT,Emmelichthyidae,Golden kali,17,67
2013,2,Penguin Bank,R,PHCRT,Emmelichthyidae,Golden kali,16,107
2014,2,Penguin Bank,R,PHCRT,Emmelichthyidae,Golden kali,12,63
2015,2,Penguin Bank,R,PHCRT,Emmelichthyidae,Golden kali,10,88
2016,2,Penguin Bank,R,PHCRT,Emmelichthyidae,Golden kali,8,52
2012,3,Oahu,R,PHCRT,Emmelichthyidae,Golden kali,5,16
2013,3,Oahu,R,PHCRT,Emmelichthyidae,Golden kali,9,39
2014,3,Oahu,R,PHCRT,Emmelichthyidae,Golden kali,6,27
2015,3,Oahu,R,PHCRT,Emmelichthyidae,Golden kali,9,48
2016,3,Oahu,R,PHCRT,Emmelichthyidae,Golden kali,4,18
2012,4,Kauai County,R,PHCRT,Emmelichthyidae,Golden kali,7,26
2013,4,Kauai County,R,PHCRT,Emmelichthyidae,Golden kali,7,38
2014,4,Kauai County,R,PHCRT,Emmelichthyidae,Golden kali,4,22
2015,4,Kauai County,R,PHCRT,Emmelichthyidae,Golden kali,3,21
2016,4,Kauai County,R,PHCRT,Emmelichthyidae,Golden kali,4,36
2013,1,Hawaii,R,PHCRT,Gempylidae,Hauliuli,3,11
2012,3,Oahu,R,PHCRT,Hemiramphidae,Iheihe,3,87
2014,3,Oahu,R,PHCRT,Hemiramphidae,Iheihe,3,142
2012,1,Hawaii,R,CHCRT,Holocentridae,Alaihe,18,218
2013,1,Hawaii,R,CHCRT,Holocentridae,Alaihe,26,375
2014,1,Hawaii,R,CHCRT,Holocentridae,Alaihe,22,231
2015,1,Hawaii,R,CHCRT,Holocentridae,Alaihe,19,133
2016,1,Hawaii,R,CHCRT,Holocentridae,Alaihe,14,88
2012,2,Maui County,R,CHCRT,Holocentridae,Alaihe,6,43
2015,2,Maui County,R,CHCRT,Holocentridae,Alaihe,4,10
2012,3,Oahu,R,CHCRT,Holocentridae,Alaihe,21,390
2013,3,Oahu,R,CHCRT,Holocentridae,Alaihe,25,368
2014,3,Oahu,R,CHCRT,Holocentridae,Alaihe,17,246
2015,3,Oahu,R,CHCRT,Holocentridae,Alaihe,5,74
2016,3,Oahu,R,CHCRT,Holocentridae,Alaihe,5,27
2012,1,Hawaii,R,CHCRT,Holocentridae,Alaihe mama,8,67
2013,1,Hawaii,R,CHCRT,Holocentridae,Alaihe mama,7,45
2014,1,Hawaii,R,CHCRT,Holocentridae,Alaihe mama,5,9
2015,1,Hawaii,R,CHCRT,Holocentridae,Alaihe mama,5,47
2016,1,Hawaii,R,CHCRT,Holocentridae,Alaihe mama,4,10
2012,2,Maui County,R,CHCRT,Holocentridae,Alaihe mama,3,10
2012,1,Hawaii,R,CHCRT,Holocentridae,Menpachi,102,23716
2013,1,Hawaii,R,CHCRT,Holocentridae,Menpachi,90,23791
2014,1,Hawaii,R,CHCRT,Holocentridae,Menpachi,78,16328
2015,1,Hawaii,R,CHCRT,Holocentridae,Menpachi,72,14559
2016,1,Hawaii,R,CHCRT,Holocentridae,Menpachi,66,15584
2012,2,Maui County,R,CHCRT,Holocentridae,Menpachi,39,5804
2013,2,Maui County,R,CHCRT,Holocentridae,Menpachi,24,3587
2014,2,Maui County,R,CHCRT,Holocentridae,Menpachi,30,4383
2015,2,Maui County,R,CHCRT,Holocentridae,Menpachi,29,4542
2016,2,Maui County,R,CHCRT,Holocentridae,Menpachi,25,5280
2012,3,Oahu,R,CHCRT,Holocentridae,Menpachi,85,13763
2013,3,Oahu,R,CHCRT,Holocentridae,Menpachi,84,16521
2014,3,Oahu,R,CHCRT,Holocentridae,Menpachi,88,12475
2015,3,Oahu,R,CHCRT,Holocentridae,Menpachi,72,12904
2016,3,Oahu,R,CHCRT,Holocentridae,Menpachi,59,13679
2012,4,Kauai County,R,CHCRT,Holocentridae,Menpachi,38,9984
2013,4,Kauai County,R,CHCRT,Holocentridae,Menpachi,38,13895
2014,4,Kauai County,R,CHCRT,Holocentridae,Menpachi,27,19804
2015,4,Kauai County,R,CHCRT,Holocentridae,Menpachi,32,11872
2016,4,Kauai County,R,CHCRT,Holocentridae,Menpachi,30,14140
2012,2,Penguin Bank,R,CHCRT,Holocentridae,Menpachi,7,44
2013,2,Penguin Bank,R,CHCRT,Holocentridae,Menpachi,8,20
2014,2,Penguin Bank,R,CHCRT,Holocentridae,Menpachi,10,45
2015,2,Penguin Bank,R,CHCRT,Holocentridae,Menpachi,4,5
2016,2,Penguin Bank,R,CHCRT,Holocentridae,Menpachi,7,30
2012,1,Hawaii,R,CHCRT,Kuhliidae,Aholehole,15,591
2013,1,Hawaii,R,CHCRT,Kuhliidae,Aholehole,17,721
2014,1,Hawaii,R,CHCRT,Kuhliidae,Aholehole,14,807
2015,1,Hawaii,R,CHCRT,Kuhliidae,Aholehole,16,613
2016,1,Hawaii,R,CHCRT,Kuhliidae,Aholehole,13,690
2012,2,Maui County,R,CHCRT,Kuhliidae,Aholehole,7,287
2013,2,Maui County,R,CHCRT,Kuhliidae,Aholehole,6,47
2014,2,Maui County,R,CHCRT,Kuhliidae,Aholehole,5,105
2015,2,Maui County,R,CHCRT,Kuhliidae,Aholehole,4,55
2016,2,Maui County,R,CHCRT,Kuhliidae,Aholehole,6,220
2012,3,Oahu,R,CHCRT,Kuhliidae,Aholehole,19,728
2013,3,Oahu,R,CHCRT,Kuhliidae,Aholehole,19,1245
2014,3,Oahu,R,CHCRT,Kuhliidae,Aholehole,19,554
2015,3,Oahu,R,CHCRT,Kuhliidae,Aholehole,17,3748
2016,3,Oahu,R,CHCRT,Kuhliidae,Aholehole,15,760
2012,4,Kauai County,R,CHCRT,Kuhliidae,Aholehole,5,217
2013,4,Kauai County,R,CHCRT,Kuhliidae,Aholehole,3,271
2014,4,Kauai County,R,CHCRT,Kuhliidae,Aholehole,3,229
2015,4,Kauai County,R,CHCRT,Kuhliidae,Aholehole,4,273
2012,1,Hawaii,R,CHCRT,Kyphosidae,Nenue,35,845
2013,1,Hawaii,R,CHCRT,Kyphosidae,Nenue,24,968
2014,1,Hawaii,R,CHCRT,Kyphosidae,Nenue,28,1097
2015,1,Hawaii,R,CHCRT,Kyphosidae,Nenue,18,594
2016,1,Hawaii,R,CHCRT,Kyphosidae,Nenue,18,655
2012,2,Maui County,R,CHCRT,Kyphosidae,Nenue,18,7960
2013,2,Maui County,R,CHCRT,Kyphosidae,Nenue,13,5138
2014,2,Maui County,R,CHCRT,Kyphosidae,Nenue,20,6224
2015,2,Maui County,R,CHCRT,Kyphosidae,Nenue,19,5806
2016,2,Maui County,R,CHCRT,Kyphosidae,Nenue,13,3511
2012,3,Oahu,R,CHCRT,Kyphosidae,Nenue,36,22331
2013,3,Oahu,R,CHCRT,Kyphosidae,Nenue,39,21214
2014,3,Oahu,R,CHCRT,Kyphosidae,Nenue,30,9262
2015,3,Oahu,R,CHCRT,Kyphosidae,Nenue,17,10977
2016,3,Oahu,R,CHCRT,Kyphosidae,Nenue,21,5584
2012,4,Kauai County,R,CHCRT,Kyphosidae,Nenue,5,99
2014,4,Kauai County,R,CHCRT,Kyphosidae,Nenue,7,54
2015,4,Kauai County,R,CHCRT,Kyphosidae,Nenue,3,72
2016,4,Kauai County,R,CHCRT,Kyphosidae,Nenue,3,27
2012,1,Hawaii,R,CHCRT,Labridae,Aawa,59,2448
2013,1,Hawaii,R,CHCRT,Labridae,Aawa,58,1920
2014,1,Hawaii,R,CHCRT,Labridae,Aawa,44,1359
2015,1,Hawaii,R,CHCRT,Labridae,Aawa,34,1024
2016,1,Hawaii,R,CHCRT,Labridae,Aawa,45,1902
2012,2,Maui County,R,CHCRT,Labridae,Aawa,23,141
2013,2,Maui County,R,CHCRT,Labridae,Aawa,12,94
2014,2,Maui County,R,CHCRT,Labridae,Aawa,10,172
2015,2,Maui County,R,CHCRT,Labridae,Aawa,10,99
2016,2,Maui County,R,CHCRT,Labridae,Aawa,10,98
2012,3,Oahu,R,CHCRT,Labridae,Aawa,41,1701
2013,3,Oahu,R,CHCRT,Labridae,Aawa,45,1465
2014,3,Oahu,R,CHCRT,Labridae,Aawa,49,1594
2015,3,Oahu,R,CHCRT,Labridae,Aawa,39,1160
2016,3,Oahu,R,CHCRT,Labridae,Aawa,30,1260
2012,4,Kauai County,R,CHCRT,Labridae,Aawa,13,435
2013,4,Kauai County,R,CHCRT,Labridae,Aawa,12,140
2014,4,Kauai County,R,CHCRT,Labridae,Aawa,9,409
2015,4,Kauai County,R,CHCRT,Labridae,Aawa,5,247
2016,4,Kauai County,R,CHCRT,Labridae,Aawa,10,44
2012,2,Penguin Bank,R,CHCRT,Labridae,Aawa,6,40
2013,2,Penguin Bank,R,CHCRT,Labridae,Aawa,3,15
2014,2,Penguin Bank,R,CHCRT,Labridae,Aawa,4,11
2015,2,Penguin Bank,R,CHCRT,Labridae,Aawa,4,24
2016,2,Penguin Bank,R,CHCRT,Labridae,Aawa,5,47
2012,1,Hawaii,R,PHCRT,Labridae,Ea (wrasse),5,41
2013,1,Hawaii,R,PHCRT,Labridae,Ea (wrasse),6,30
2015,1,Hawaii,R,PHCRT,Labridae,Ea (wrasse),3,76
2012,2,Maui County,R,PHCRT,Labridae,Ea (wrasse),10,128
2013,2,Maui County,R,PHCRT,Labridae,Ea (wrasse),8,115
2014,2,Maui County,R,PHCRT,Labridae,Ea (wrasse),7,113
2015,2,Maui County,R,PHCRT,Labridae,Ea (wrasse),5,23
2016,2,Maui County,R,PHCRT,Labridae,Ea (wrasse),4,26
2012,3,Oahu,R,PHCRT,Labridae,Ea (wrasse),8,142
2013,3,Oahu,R,PHCRT,Labridae,Ea (wrasse),4,18
2015,3,Oahu,R,PHCRT,Labridae,Ea (wrasse),5,42
2016,3,Oahu,R,PHCRT,Labridae,Ea (wrasse),3,3
2012,3,Oahu,R,PHCRT,Labridae,Hinalea,9,36
2013,3,Oahu,R,PHCRT,Labridae,Hinalea,13,46
2014,3,Oahu,R,PHCRT,Labridae,Hinalea,6,25
2015,3,Oahu,R,PHCRT,Labridae,Hinalea,4,21
2016,3,Oahu,R,PHCRT,Labridae,Hinalea,3,1
2012,3,Oahu,R,CHCRT,Labridae,Kupoupou,5,17
2013,3,Oahu,R,CHCRT,Labridae,Kupoupou,6,12
2014,3,Oahu,R,CHCRT,Labridae,Kupoupou,5,10
2015,3,Oahu,R,CHCRT,Labridae,Kupoupou,3,6
2012,1,Hawaii,R,CHCRT,Labridae,Laenihi,36,873
2013,1,Hawaii,R,CHCRT,Labridae,Laenihi,37,791
2014,1,Hawaii,R,CHCRT,Labridae,Laenihi,22,1041
2015,1,Hawaii,R,CHCRT,Labridae,Laenihi,25,643
2016,1,Hawaii,R,CHCRT,Labridae,Laenihi,26,832
2012,2,Maui County,R,CHCRT,Labridae,Laenihi,29,1197
2013,2,Maui County,R,CHCRT,Labridae,Laenihi,30,1616
2014,2,Maui County,R,CHCRT,Labridae,Laenihi,23,1794
2015,2,Maui County,R,CHCRT,Labridae,Laenihi,25,2399
2016,2,Maui County,R,CHCRT,Labridae,Laenihi,23,1814
2012,3,Oahu,R,CHCRT,Labridae,Laenihi,22,578
2013,3,Oahu,R,CHCRT,Labridae,Laenihi,16,256
2014,3,Oahu,R,CHCRT,Labridae,Laenihi,21,581
2015,3,Oahu,R,CHCRT,Labridae,Laenihi,20,226
2016,3,Oahu,R,CHCRT,Labridae,Laenihi,17,628
2012,4,Kauai County,R,CHCRT,Labridae,Laenihi,5,35
2013,4,Kauai County,R,CHCRT,Labridae,Laenihi,4,10
2014,2,Penguin Bank,R,CHCRT,Labridae,Laenihi,4,41
2015,2,Penguin Bank,R,CHCRT,Labridae,Laenihi,4,267
2016,2,Penguin Bank,R,CHCRT,Labridae,Laenihi,6,307
2012,1,Hawaii,R,CHCRT,Labridae,Poou,3,20
2016,2,Maui County,R,CHCRT,Labridae,Poou,3,23
2012,1,Hawaii,R,PHCRT,Lethrinidae,Mu,13,1946
2013,1,Hawaii,R,PHCRT,Lethrinidae,Mu,11,1753
2014,1,Hawaii,R,PHCRT,Lethrinidae,Mu,14,171
2015,1,Hawaii,R,PHCRT,Lethrinidae,Mu,11,275
2016,1,Hawaii,R,PHCRT,Lethrinidae,Mu,14,275
2012,2,Maui County,R,PHCRT,Lethrinidae,Mu,7,115
2013,2,Maui County,R,PHCRT,Lethrinidae,Mu,4,181
2014,2,Maui County,R,PHCRT,Lethrinidae,Mu,3,28
2015,2,Maui County,R,PHCRT,Lethrinidae,Mu,3,71
2016,2,Maui County,R,PHCRT,Lethrinidae,Mu,5,97
2012,3,Oahu,R,PHCRT,Lethrinidae,Mu,20,3539
2013,3,Oahu,R,PHCRT,Lethrinidae,Mu,30,3699
2014,3,Oahu,R,PHCRT,Lethrinidae,Mu,28,3101
2015,3,Oahu,R,PHCRT,Lethrinidae,Mu,27,1497
2016,3,Oahu,R,PHCRT,Lethrinidae,Mu,22,1356
2012,4,Kauai County,R,PHCRT,Lethrinidae,Mu,4,164
2015,4,Kauai County,R,PHCRT,Lethrinidae,Mu,3,230
2016,4,Kauai County,R,PHCRT,Lethrinidae,Mu,3,381
2013,1,Hawaii,R,PHCRT,Lutjanidae,Randall's snapper,4,51
2015,1,Hawaii,R,PHCRT,Lutjanidae,Randall's snapper,3,72
2012,1,Hawaii,R,PHCRT,Lutjanidae,Toau,49,875
2013,1,Hawaii,R,PHCRT,Lutjanidae,Toau,43,414
2014,1,Hawaii,R,PHCRT,Lutjanidae,Toau,34,233
2015,1,Hawaii,R,PHCRT,Lutjanidae,Toau,35,290
2016,1,Hawaii,R,PHCRT,Lutjanidae,Toau,39,376
2012,2,Maui County,R,PHCRT,Lutjanidae,Toau,14,1844
2013,2,Maui County,R,PHCRT,Lutjanidae,Toau,8,147
2014,2,Maui County,R,PHCRT,Lutjanidae,Toau,10,42
2015,2,Maui County,R,PHCRT,Lutjanidae,Toau,9,1125
2016,2,Maui County,R,PHCRT,Lutjanidae,Toau,16,425
2012,3,Oahu,R,PHCRT,Lutjanidae,Toau,49,3315
2013,3,Oahu,R,PHCRT,Lutjanidae,Toau,67,3392
2014,3,Oahu,R,PHCRT,Lutjanidae,Toau,60,4588
2015,3,Oahu,R,PHCRT,Lutjanidae,Toau,51,1601
2016,3,Oahu,R,PHCRT,Lutjanidae,Toau,44,1670
2012,4,Kauai County,R,PHCRT,Lutjanidae,Toau,14,99
2013,4,Kauai County,R,PHCRT,Lutjanidae,Toau,12,122
2014,4,Kauai County,R,PHCRT,Lutjanidae,Toau,9,418
2015,4,Kauai County,R,PHCRT,Lutjanidae,Toau,7,113
2016,4,Kauai County,R,PHCRT,Lutjanidae,Toau,9,126
2012,1,Hawaii,R,PHCRT,Lutjanidae,Wahanui,4,21
2013,1,Hawaii,R,PHCRT,Lutjanidae,Wahanui,4,18
2014,1,Hawaii,R,PHCRT,Lutjanidae,Wahanui,6,31
2015,1,Hawaii,R,PHCRT,Lutjanidae,Wahanui,7,43
2014,3,Oahu,R,PHCRT,Lutjanidae,Wahanui,4,10
2016,3,Oahu,R,PHCRT,Lutjanidae,Wahanui,3,4
2015,4,Kauai County,R,PHCRT,Lutjanidae,Wahanui,3,56
2012,1,Hawaii,R,PHCRT,Monacanthidae,Olililepa,4,91
2015,1,Hawaii,R,PHCRT,Monacanthidae,Olililepa,3,32
2012,3,Oahu,R,PHCRT,Monacanthidae,Olililepa,9,2601
2013,3,Oahu,R,PHCRT,Monacanthidae,Olililepa,13,755
2014,3,Oahu,R,PHCRT,Monacanthidae,Olililepa,9,1340
2015,3,Oahu,R,PHCRT,Monacanthidae,Olililepa,6,594
2016,3,Oahu,R,PHCRT,Monacanthidae,Olililepa,3,217
2014,1,Hawaii,R,CHCRT,Mugilidae,Amaama,4,29
2012,3,Oahu,R,CHCRT,Mugilidae,Amaama,11,7048
2013,3,Oahu,R,CHCRT,Mugilidae,Amaama,10,5708
2014,3,Oahu,R,CHCRT,Mugilidae,Amaama,13,3754
2015,3,Oahu,R,CHCRT,Mugilidae,Amaama,9,3947
2016,3,Oahu,R,CHCRT,Mugilidae,Amaama,5,2379
2012,4,Kauai County,R,CHCRT,Mugilidae,Amaama,3,1380
2016,3,Oahu,R,CHCRT,Mugilidae,Summer mullet,3,477
2012,1,Hawaii,R,CHCRT,Mugilidae,Uouoa,6,200
2013,1,Hawaii,R,CHCRT,Mugilidae,Uouoa,6,286
2014,1,Hawaii,R,CHCRT,Mugilidae,Uouoa,6,487
2015,1,Hawaii,R,CHCRT,Mugilidae,Uouoa,5,184
2015,2,Maui County,R,CHCRT,Mugilidae,Uouoa,3,54
2013,3,Oahu,R,CHCRT,Mugilidae,Uouoa,3,111
2012,1,Hawaii,R,CHCRT,Mullidae,Kumu,33,1859
2013,1,Hawaii,R,CHCRT,Mullidae,Kumu,25,1553
2014,1,Hawaii,R,CHCRT,Mullidae,Kumu,24,369
2015,1,Hawaii,R,CHCRT,Mullidae,Kumu,13,480
2016,1,Hawaii,R,CHCRT,Mullidae,Kumu,14,708
2012,2,Maui County,R,CHCRT,Mullidae,Kumu,17,450
2013,2,Maui County,R,CHCRT,Mullidae,Kumu,10,153
2014,2,Maui County,R,CHCRT,Mullidae,Kumu,12,240
2015,2,Maui County,R,CHCRT,Mullidae,Kumu,7,121
2016,2,Maui County,R,CHCRT,Mullidae,Kumu,11,191
2012,3,Oahu,R,CHCRT,Mullidae,Kumu,52,5512
2013,3,Oahu,R,CHCRT,Mullidae,Kumu,62,5069
2014,3,Oahu,R,CHCRT,Mullidae,Kumu,56,3351
2015,3,Oahu,R,CHCRT,Mullidae,Kumu,46,1955
2016,3,Oahu,R,CHCRT,Mullidae,Kumu,31,835
2012,4,Kauai County,R,CHCRT,Mullidae,Kumu,9,618
2013,4,Kauai County,R,CHCRT,Mullidae,Kumu,6,311
2014,4,Kauai County,R,CHCRT,Mullidae,Kumu,3,451
2015,4,Kauai County,R,CHCRT,Mullidae,Kumu,5,151
2016,4,Kauai County,R,CHCRT,Mullidae,Kumu,6,218
2012,1,Hawaii,R,CHCRT,Mullidae,Malu,7,28
2013,1,Hawaii,R,CHCRT,Mullidae,Malu,6,8
2012,3,Oahu,R,CHCRT,Mullidae,Malu,23,279
2013,3,Oahu,R,CHCRT,Mullidae,Malu,26,261
2014,3,Oahu,R,CHCRT,Mullidae,Malu,22,208
2015,3,Oahu,R,CHCRT,Mullidae,Malu,17,90
2016,3,Oahu,R,CHCRT,Mullidae,Malu,8,18
2012,4,Kauai County,R,CHCRT,Mullidae,Malu,3,22
2012,1,Hawaii,R,CHCRT,Mullidae,Moana,58,2515
2013,1,Hawaii,R,CHCRT,Mullidae,Moana,67,1850
2014,1,Hawaii,R,CHCRT,Mullidae,Moana,36,1316
2015,1,Hawaii,R,CHCRT,Mullidae,Moana,31,1244
2016,1,Hawaii,R,CHCRT,Mullidae,Moana,39,2140
2012,2,Maui County,R,CHCRT,Mullidae,Moana,25,1757
2013,2,Maui County,R,CHCRT,Mullidae,Moana,21,1573
2014,2,Maui County,R,CHCRT,Mullidae,Moana,15,772
2015,2,Maui County,R,CHCRT,Mullidae,Moana,9,102
2016,2,Maui County,R,CHCRT,Mullidae,Moana,12,83
2012,3,Oahu,R,CHCRT,Mullidae,Moana,62,1198
2013,3,Oahu,R,CHCRT,Mullidae,Moana,67,1644
2014,3,Oahu,R,CHCRT,Mullidae,Moana,58,1243
2015,3,Oahu,R,CHCRT,Mullidae,Moana,54,609
2016,3,Oahu,R,CHCRT,Mullidae,Moana,38,447
2012,4,Kauai County,R,CHCRT,Mullidae,Moana,16,288
2013,4,Kauai County,R,CHCRT,Mullidae,Moana,11,155
2014,4,Kauai County,R,CHCRT,Mullidae,Moana,14,160
2015,4,Kauai County,R,CHCRT,Mullidae,Moana,8,109
2016,4,Kauai County,R,CHCRT,Mullidae,Moana,10,112
2012,1,Hawaii,R,CHCRT,Mullidae,Moana kale,38,1201
2013,1,Hawaii,R,CHCRT,Mullidae,Moana kale,37,786
2014,1,Hawaii,R,CHCRT,Mullidae,Moana kale,31,951
2015,1,Hawaii,R,CHCRT,Mullidae,Moana kale,23,522
2016,1,Hawaii,R,CHCRT,Mullidae,Moana kale,30,948
2012,2,Maui County,R,CHCRT,Mullidae,Moana kale,22,652
2013,2,Maui County,R,CHCRT,Mullidae,Moana kale,21,324
2014,2,Maui County,R,CHCRT,Mullidae,Moana kale,17,108
2015,2,Maui County,R,CHCRT,Mullidae,Moana kale,7,79
2016,2,Maui County,R,CHCRT,Mullidae,Moana kale,14,142
2012,3,Oahu,R,CHCRT,Mullidae,Moana kale,43,507
2013,3,Oahu,R,CHCRT,Mullidae,Moana kale,49,599
2014,3,Oahu,R,CHCRT,Mullidae,Moana kale,52,1433
2015,3,Oahu,R,CHCRT,Mullidae,Moana kale,46,529
2016,3,Oahu,R,CHCRT,Mullidae,Moana kale,38,569
2012,4,Kauai County,R,CHCRT,Mullidae,Moana kale,14,212
2013,4,Kauai County,R,CHCRT,Mullidae,Moana kale,10,153
2014,4,Kauai County,R,CHCRT,Mullidae,Moana kale,7,286
2015,4,Kauai County,R,CHCRT,Mullidae,Moana kale,7,117
2016,4,Kauai County,R,CHCRT,Mullidae,Moana kale,8,68
2012,1,Hawaii,R,CHCRT,Mullidae,Munu,21,301
2013,1,Hawaii,R,CHCRT,Mullidae,Munu,25,144
2014,1,Hawaii,R,CHCRT,Mullidae,Munu,25,147
2015,1,Hawaii,R,CHCRT,Mullidae,Munu,10,42
2016,1,Hawaii,R,CHCRT,Mullidae,Munu,17,91
2012,2,Maui County,R,CHCRT,Mullidae,Munu,4,38
2013,2,Maui County,R,CHCRT,Mullidae,Munu,3,29
2014,2,Maui County,R,CHCRT,Mullidae,Munu,3,12
2015,2,Maui County,R,CHCRT,Mullidae,Munu,3,11
2012,3,Oahu,R,CHCRT,Mullidae,Munu,23,488
2013,3,Oahu,R,CHCRT,Mullidae,Munu,26,485
2014,3,Oahu,R,CHCRT,Mullidae,Munu,26,459
2015,3,Oahu,R,CHCRT,Mullidae,Munu,25,208
2016,3,Oahu,R,CHCRT,Mullidae,Munu,14,200
2012,3,Oahu,R,CHCRT,Mullidae,Weke,4,662
2012,1,Hawaii,R,CHCRT,Mullidae,Weke a'a,13,157
2013,1,Hawaii,R,CHCRT,Mullidae,Weke a'a,8,282
2014,1,Hawaii,R,CHCRT,Mullidae,Weke a'a,12,91
2015,1,Hawaii,R,CHCRT,Mullidae,Weke a'a,6,118
2016,1,Hawaii,R,CHCRT,Mullidae,Weke a'a,7,131
